包裹配送編號,查詢建立時間,查詢者,備註,影片處理狀況
TW267228759905R,2026-03-04 0:39:03,amber.hocy@shopee.com,,下載中
TW264028353302,2026-03-04 0:29:53,amber.hocy@shopee.com,,下載中
TW26549085S,2026-02-26 9:20:06,amber.hocy@shopee.com,,已完成
TW26549085S,2026-03-02 7:35:00,ellie.hsu@shopee.com,,下載中
TW26904357648F,2026-03-02 9:06:00,ellie.hsu@shopee.com,,下載中
TW266380563357Z,2026-02-26 5:59:47,amber.hocy@shopee.com,,已完成
TW26867259759L,2026-03-06 2:59:32,andy.wu@shopee.com,,已完成
TW2686258835C,2026-03-05 9:48:55,andy.wu@shopee.com,,已完成
TW26084638094X,2026-02-25 7:59:09,andy.wu@shopee.com,,已完成
TW260032854034,2026-02-27 9:08:03,amber.hocy@shopee.com,,已完成
TW26559697363,2026-03-03 22:29:05,ellie.hsu@shopee.com,,已完成
TW26559697363,2026-03-03 22:08:45,andy.wu@shopee.com,,已完成
TW25040433463H,2026-03-03 0:45:03,ellie.hsu@shopee.com,,已完成
TW268029893304P,2026-02-26 0:00:08,amber.hocy@shopee.com,,已完成
TW26644040294,2026-03-03 0:53:09,amber.hocy@shopee.com,,已完成
,2026-03-05 4:57:49,amber.hocy@shopee.com,,已完成
TW262069844855I,2026-03-06 4:00:40,ellie.hsu@shopee.com,,已完成
TW260498939035O,2026-02-23 7:22:28,ellie.hsu@shopee.com,,已完成
TW266040696360,2026-02-26 5:26:28,amber.hocy@shopee.com,,已完成
TW268275630202C,2026-03-05 0:00:32,andy.wu@shopee.com,,已完成
,2026-03-02 :43:28,andy.wu@shopee.com,,已完成
TW26558430905J,2026-03-02 5:43:03,andy.wu@shopee.com,,已完成
TW2655085447V,2026-02-24 0:07:56,amber.hocy@shopee.com,,已完成
TW2677692304D,2026-02-24 7:05:05,ellie.hsu@shopee.com,,下載失敗
,2026-03-04 2:05:00,andy.wu@shopee.com,,已完成
,2026-03-06 9:34:44,ellie.hsu@shopee.com,,已完成
TW262630059345C,2026-03-05 7:44:00,andy.wu@shopee.com,,已完成
TW267895407046,2026-02-25 20:05:23,ellie.hsu@shopee.com,,已完成
TW26730596977,2026-03-05 8:22:03,andy.wu@shopee.com,,已完成
TW26950074743F,2026-03-0 7:6:34,amber.hocy@shopee.com,,已完成
TW26823664652H,2026-03-05 6:56:09,amber.hocy@shopee.com,,已完成
TW266244225875Z,2026-02-22 8:05:02,amber.hocy@shopee.com,,已完成
TW2689569664F,2026-02-27 0:24:25,ellie.hsu@shopee.com,,已完成
TW263023476349N,2026-02-25 2:23:29,ellie.hsu@shopee.com,,已完成
TW26835890009O,2026-02-24 3:02:24,amber.hocy@shopee.com,,已完成
TW264457066826D,2026-03-02 9:50:33,andy.wu@shopee.com,,已完成
TW26227824297O,2026-02-25 20:05:36,andy.wu@shopee.com,,已完成
,2026-03-05 :32:38,andy.wu@shopee.com,,已完成
TW260426470279V,2026-03-04 3:58:25,amber.hocy@shopee.com,,已完成
TW26566253320T,2026-02-26 20:47:04,ellie.hsu@shopee.com,,已完成
TW26566253320T,2026-02-26 9:05:28,andy.wu@shopee.com,,已完成
,2026-02-22 2:59:07,ellie.hsu@shopee.com,,已完成
TW2674975068K,2026-03-02 4:07:55,andy.wu@shopee.com,,已完成
TW26770880859,2026-02-23 5:24:09,ellie.hsu@shopee.com,,已完成
