案件編號,包裹配送編號,案件摘要,案件說明,案件描述,用戶類型,退貨物流編號,備註,影片處理狀況,案件建立時間
202887290736873,TW267228759905R,Invoice Related Issues,,用戶為買家，針對訂單 26023KG8K0KV8 詢問為何會收到「退款商品折讓證明聯」，並想了解該文件的用途與含義。,Buyer,260303073T55NN,,準備中,2026-03-04 0:39:03
202902482754236423,TW264028353302,,,,Buyer,,,準備中,2026-03-04 0:29:53
202698062979660857,TW26549085S,,,,Buyer,,,準備中,2026-02-26 9:20:06
202840369672977376,TW26549085S,,,用戶透過網路電話來電，但未說明任何訂單或問題細節。目前僅能記錄為一般諮詢，待用戶補充資訊後再進一步協助。,Buyer,,,下載中,2026-03-02 7:35:00
20282787854838857,TW26904357648F,Issues on cash collection machine,,,Buyer,,,下載中,2026-03-02 9:06:00
20269307788538655,TW266380563357Z,Return/refund was cancelled as buyer did not ship on time,,用戶反映訂單 26030GPX83DR8 已於 2/5 在退貨期限內完成退貨，但系統後來卻顯示未於時間內退貨且訂單已完成，導致商品已退回卻仍被扣款。用戶表示年前多次留言無回覆，請求協助查明原因並說明處理方式。,Buyer,26030GPX83DR8,,已完成,2026-02-26 5:59:47
20297839728449336,TW26867259759L,,,,Buyer,,,已完成,2026-03-06 2:59:32
202937355929669224,TW2686258835C,Check on return parcel status,,User requested assistance with checking the return/refund progress for order SN 26026U6U4NN7P. They asked to be connected to a live agent and confirmed they want to know the current status of the refund.,Buyer,260300N54VKC,,已完成,2026-03-05 9:48:55
202644683209968444,TW26084638094X,,,,Buyer,,,已完成,2026-02-25 7:59:09
2027946780880495,TW260032854034,Seller Serviceable area enquiries,,用戶詢問今日（2026-02-27）桃園新屋區直營門市是否營業，因擔心228連假門市暫停營業而影響退貨。客服查無暫停營業公告，但用戶仍希望確認是否可於當天前往辦理退貨。,Buyer,2602209UY8YEK,,已完成,2026-02-27 9:08:03
202884029668468753,TW26559697363,,,用戶於 2026-03-03 22:7:22 透過網路電話來電，但未說明任何具體問題或訂單資訊。目前僅能記錄為一般諮詢，待後續補充細節。,Buyer,,,已完成,2026-03-03 22:29:05
202883496963382825,TW26559697363,Disconnected / Drop Call,,,Buyer,,,已完成,2026-03-03 22:08:45
2028662953027555359,TW25040433463H,Raise a RRAOC,,賣家要求為訂單 25226BDGFSXGA 申請紅包單項退款，因買家不需使用該紅包。對話中未提供商品或額外訂單資訊，僅請求協助處理紅包退款。,Seller,,,已完成,2026-03-03 0:45:03
2026839668773597206,TW268029893304P,Raise a RRAOC,,還要追260222CB6H0XAT,Seller,,,已完成,2026-02-26 0:00:08
202866499383460660,TW26644040294,Raise a RRAOC,,,Seller,,,已完成,2026-03-03 0:53:09
202945298306756666,查無資料,Raise a RRAOC,,,Seller,,,已完成,2026-03-05 4:57:49
202979955452497683,TW262069844855I,Expedite delivery,,用戶反映訂單 26030373JVFWDQ 的訂單動態長期未更新，詢問未更新的原因。客服表示需更多時間確認並請用戶稍候。,Seller,,,已完成,2026-03-06 4:00:40
2025863822342737920,TW260498939035O,,,,Buyer,,,已完成,2026-02-23 7:22:28
20269279650205770,TW266040696360,,,,Buyer,,,已完成,2026-02-26 5:26:28
202922573923592840,TW268275630202C,Return/refund was cancelled as buyer did not ship on time,,我明明就已經寄出退貨，卻一直說我未在期限內寄出,Buyer,2602230EV6FYXXJ,,已完成,2026-03-05 0:00:32
202835222495879208,查無資料,Request to cancel order,,,Buyer,,,已完成,2026-03-02 :43:28
202837556049247758,TW26558430905J,,,,Seller,,,已完成,2026-03-02 5:43:03
2025968377657794652,TW2655085447V,Return/refund after full Shopee Guarantee period,,請問我要退貨，要跟賣家要退貨方式，賣家要求我要先把評價改4-5星才要給我退貨方式，請問我可以拒絕改評價嗎？若我拒絕改評價賣家不給我退貨方式我可以怎麼做？,Buyer,260207042VTXBKA,,已完成,2026-02-24 0:07:56
202623340055946294,TW2677692304D,Invoice Related Issues,,,Buyer,,,下載失敗,2026-02-24 7:05:05
2029047945956478,查無資料,Shipping performance / LSR (Late shipment Rate) enquiry,,用戶於2026-03-04 :52:2 透過網路電話來電，但未說明任何訂單編號或具體問題。目前僅能記錄為一般諮詢，待後續補充資訊再進一步協助。,Seller,,,已完成,2026-03-04 2:05:00
